problem,domain,solver,solved,plan_length,plan_cost,expanded,reopened,evaluated,evaluations,generated,dead_ends,search_time,total_time
seq-p01-002.pddl,floortile-sat11-strips,1,1,41,103,517010,0,1173435,1690446,3794962,656424,4.8655,4.867065
seq-p02-003.pddl,floortile-sat11-strips,1,1,57,136,5339512,0,13085566,18425079,41580224,7746053,65.475123,65.477108
seq-p02-004.pddl,floortile-sat11-strips,1,1,59,146,4593004,0,11177979,15770984,35605842,6584974,55.04744,55.05143
seq-p03-005.pddl,floortile-sat11-strips,1,1,51,127,7675425,0,18316905,25992331,59299774,10641479,99.862619,99.862619
seq-p03-006.pddl,floortile-sat11-strips,1,1,52,128,7557719,0,18004288,25562008,58451212,10446568,98.259396,98.26243
seq-p04-007.pddl,floortile-sat11-strips,1,0,,,,,,,,,,
seq-p04-008.pddl,floortile-sat11-strips,1,0,,,,,,,,,,
seq-p05-009.pddl,floortile-sat11-strips,1,0,,,,,,,,,,
seq-p05-010.pddl,floortile-sat11-strips,1,0,,,,,,,,,,
seq-p06-011.pddl,floortile-sat11-strips,1,0,,,,,,,,,,
seq-p06-012.pddl,floortile-sat11-strips,1,0,,,,,,,,,,
seq-p07-013.pddl,floortile-sat11-strips,1,0,,,,,,,,,,
seq-p07-014.pddl,floortile-sat11-strips,1,0,,,,,,,,,,
seq-p08-015.pddl,floortile-sat11-strips,1,0,,,,,,,,,,
seq-p08-016.pddl,floortile-sat11-strips,1,0,,,,,,,,,,
seq-p09-017.pddl,floortile-sat11-strips,1,0,,,,,,,,,,
seq-p09-018.pddl,floortile-sat11-strips,1,0,,,,,,,,,,
seq-p10-019.pddl,floortile-sat11-strips,1,0,,,,,,,,,,
seq-p10-020.pddl,floortile-sat11-strips,1,0,,,,,,,,,,
p01-4-3-2.pddl,floortile-sat14-strips,1,1,39,97,400465,0,905450,1305916,2934169,504984,4.006218,4.009803
p01-5-4-2.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p01-5-5-2.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p01-6-4-2.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p01-6-5-2.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p01-6-5-3.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p02-5-4-2.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p02-6-4-2.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p02-6-5-2.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p02-6-5-3.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p03-6-4-2.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p03-6-5-2.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p03-6-5-3.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p04-5-4-2.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p04-5-5-2.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p04-6-5-2.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p04-6-5-3.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p05-4-3-2.pddl,floortile-sat14-strips,1,1,37,87,92444,0,205707,298152,652973,113262,0.832331,0.835242
p05-6-5-2.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p05-6-5-3.pddl,floortile-sat14-strips,1,0,,,,,,,,,,
p01.pddl,folding-sat23-strips,1,1,178,12,769,0,836,1606,1441,66,0.423678,0.835702
p02.pddl,folding-sat23-strips,1,0,,,,,,,,,,
p03.pddl,folding-sat23-strips,1,1,358,24,5217,0,5556,10774,8621,338,59.637147,64.943051
p04.pddl,folding-sat23-strips,1,0,,,,,,,,,,
p05.pddl,folding-sat23-strips,1,0,,,,,,,,,,
p06.pddl,folding-sat23-strips,1,0,,,,,,,,,,
p07.pddl,folding-sat23-strips,1,0,,,,,,,,,,
p08.pddl,folding-sat23-strips,1,1,234,18,4475,0,4907,9383,8075,431,3.979747,4.767236
p09.pddl,folding-sat23-strips,1,1,178,10,274,0,276,551,564,1,0.795088,2.571555
p10.pddl,folding-sat23-strips,1,0,,,,,,,,,,
p11.pddl,folding-sat23-strips,1,1,286,14,3748,0,4106,7855,8336,357,39.568907,45.405138
p12.pddl,folding-sat23-strips,1,1,424,20,1277,0,1344,2622,2852,66,35.985697,49.857069
p13.pddl,folding-sat23-strips,1,0,,,,,,,,,,
p14.pddl,folding-sat23-strips,1,1,114,7,176,0,177,354,351,0,0.1899,0.972543
p15.pddl,folding-sat23-strips,1,1,154,8,254,0,257,512,486,2,0.775057,2.57623
p16.pddl,folding-sat23-strips,1,1,184,8,354,0,358,713,618,3,2.802926,6.17966
p17.pddl,folding-sat23-strips,1,1,344,21,2248,0,2561,4810,6170,312,24.629904,30.097151
p18.pddl,folding-sat23-strips,1,1,264,9,676,0,678,1355,1081,1,21.516566,35.4133
p19.pddl,folding-sat23-strips,1,0,,,,,,,,,,
