Domain,Problem,Planner,solved,cost,length,expanded,time
settlers-sat18-strips,p13,solver_1,True,1840.0,223.0,10211.0,2.963326
settlers-sat18-strips,p17,solver_1,True,1365.0,173.0,94298.0,40.423003
settlers-sat18-strips,p01,solver_1,True,535.0,69.0,388.0,0.124824
settlers-sat18-strips,p20,solver_1,True,1725.0,215.0,36848.0,17.754509
settlers-sat18-strips,p09,solver_1,True,635.0,79.0,448.0,0.246346
settlers-sat18-strips,p08,solver_1,True,595.0,75.0,139843.0,23.479505
settlers-sat18-strips,p05,solver_1,True,1335.0,172.0,48954.0,7.73508
settlers-sat18-strips,p04,solver_1,True,570.0,74.0,271.0,0.144428
settlers-sat18-strips,p03,solver_1,True,600.0,75.0,435.0,0.156052
settlers-sat18-strips,p07,solver_1,True,2035.0,255.0,10233.0,1.929464
settlers-sat18-strips,p16,solver_1,True,1095.0,134.0,198769.0,79.121915
settlers-sat18-strips,p19,solver_1,False,,,,
settlers-sat18-strips,p18,solver_1,True,1365.0,165.0,4810.0,2.75409
settlers-sat18-strips,p02,solver_1,True,875.0,114.0,125669.0,16.273719
settlers-sat18-strips,p10,solver_1,True,650.0,84.0,3693.0,0.867218
settlers-sat18-strips,p12,solver_1,True,1715.0,216.0,23706.0,6.309324
settlers-sat18-strips,p15,solver_1,True,735.0,92.0,8582.0,3.202533
settlers-sat18-strips,p11,solver_1,True,1320.0,171.0,31929.0,6.994772
city-car-sat14-strips,p06,solver_1,False,,,,
city-car-sat14-strips,p14,solver_1,False,,,,
city-car-sat14-strips,p13,solver_1,False,,,,
city-car-sat14-strips,p17,solver_1,False,,,,
city-car-sat14-strips,p01,solver_1,True,130.0,20.0,66743.0,1.568052
city-car-sat14-strips,p20,solver_1,False,,,,
city-car-sat14-strips,p09,solver_1,False,,,,
city-car-sat14-strips,p08,solver_1,False,,,,
city-car-sat14-strips,p05,solver_1,True,140.0,45.0,2013471.0,62.678836
city-car-sat14-strips,p04,solver_1,True,213.0,52.0,1697331.0,63.560606
city-car-sat14-strips,p03,solver_1,True,170.0,35.0,191155.0,5.569177
city-car-sat14-strips,p07,solver_1,False,,,,
city-car-sat14-strips,p16,solver_1,False,,,,
city-car-sat14-strips,p19,solver_1,False,,,,
city-car-sat14-strips,p18,solver_1,False,,,,
city-car-sat14-strips,p02,solver_1,True,225.0,31.0,597926.0,14.672726
city-car-sat14-strips,p10,solver_1,False,,,,
city-car-sat14-strips,p12,solver_1,False,,,,
city-car-sat14-strips,p15,solver_1,False,,,,
city-car-sat14-strips,p11,solver_1,False,,,,
ged-sat14-strips,d-12-3,solver_1,True,77.0,249.0,6478.0,0.827508
ged-sat14-strips,d-12-7,solver_1,True,60.0,184.0,4917.0,0.669806
ged-sat14-strips,d-12-5,solver_1,True,70.0,219.0,7163.0,1.016298
ged-sat14-strips,d-12-9,solver_1,True,58.0,175.0,4149.0,0.7003
ged-sat14-strips,d-10-3,solver_1,True,39.0,111.0,1781.0,0.157984
ged-sat14-strips,d-10-4,solver_1,True,24.0,72.0,712.0,0.077491
ged-sat14-strips,d-12-11,solver_1,True,37.0,114.0,1557.0,0.168316
